1,0,72
2,0,13
2,1,54
3,0,42
3,1,21
3,2,87
4,0,96
4,2,44
5,0,83
5,2,70
6,5,12
7,6,27
8,7,30
9,5,41
9,8,44
10,3,66
10,7,9
11,1,14
11,10,41
12,4,39
12,5,31
13, 0, 54
13, 10, 61
14, 12, 66
14, 11, 97
14, 10, 74
15, 4, 64
15, 13, 37
15, 0, 31
15, 6, 83
16, 4, 38
16, 14, 38
17, 7, 93
17, 14, 64
18, 13, 30
18, 1, 60
19, 6, 84
19, 7, 63
19, 16, 49
19, 13, 67
20, 3, 40
20, 1, 33
20, 16, 45
21, 14, 27
21, 12, 27
22, 7, 23
22, 10, 90
22, 16, 51
22, 12, 57
23, 9, 19
23, 0, 7
24, 5, 73
24, 8, 54
25, 9, 14
25, 3, 59
25, 4, 36
26, 17, 26
26, 9, 53
26, 22, 23
27, 2, 51
27, 4, 50
27, 21, 31
28, 1, 95
28, 6, 36
28, 8, 42
28, 13, 98
29, 10, 34
29, 13, 83
29, 4, 31
30, 24, 21
30, 5, 30
30, 19, 66
30, 22, 37
31, 11, 64
31, 5, 29
31, 7, 0
32, 24, 60
32, 22, 50
32, 19, 47
32, 29, 89
33, 16, 19
33, 25, 34
33, 3, 30
34, 21, 45
34, 28, 53
34, 30, 87
35, 5, 12
35, 17, 96
36, 9, 26
36, 35, 82
37, 18, 97
37, 24, 90
38, 28, 36
38, 7, 23
38, 4, 7
39, 1, 84
39, 33, 36
39, 19, 80
40, 32, 4
40, 18, 78
41, 14, 55
41, 8, 97
41, 22, 39
41, 17, 29
42, 23, 19
42, 32, 96
42, 36, 78
43, 34, 86
43, 2, 27
43, 26, 68
44, 23, 78
44, 3, 64
45, 40, 45
45, 8, 20
46, 25, 62
46, 45, 50
46, 13, 38
47, 35, 35
47, 37, 26
47, 6, 73
47, 30, 90
48, 26, 12
48, 0, 96
49, 7, 60
49, 44, 50
49, 14, 62
50, 38, 14
50, 16, 33
51, 8, 63
51, 23, 45
52, 45, 77
52, 44, 86
52, 41, 33
53, 1, 14
53, 19, 30
53, 20, 51
54, 46, 76
54, 18, 21
54, 7, 82
55, 4, 70
55, 19, 2
55, 38, 43
55, 32, 79
56, 50, 29
56, 40, 40
56, 0, 37
56, 50, 0
57, 32, 59
57, 1, 46
57, 0, 50
58, 49, 20
58, 33, 91
58, 44, 97
59, 39, 30
59, 1, 11
59, 56, 31
60, 48, 28
60, 54, 14
61, 44, 12
61, 26, 58
62, 21, 51
62, 18, 10
62, 11, 92
63, 27, 27
63, 38, 91
63, 1, 69
64, 33, 56
64, 28, 42
64, 10, 3
64, 42, 99
65, 6, 68
65, 44, 65
66, 62, 87
66, 44, 46
66, 37, 17
66, 26, 81
67, 57, 43
67, 7, 61
67, 19, 24
68, 56, 14
68, 19, 45
68, 21, 5
69, 37, 50
69, 53, 73
69, 38, 24
